model,image_size,image_width,text_width,embed_dim,mparams,image_mparams,text_mparams,gflops,image_gflops,text_gflops
ViT-S-32-alt,224,384.0,256.0,256.0,43.22,22.59,20.63,3.56,2.29,1.27
ViT-S-32,224,384.0,384.0,384.0,63.09,22.64,40.44,5.66,2.29,3.38
ViT-M-32-alt,224,512.0,384.0,384.0,80.07,39.63,40.44,7.37,3.99,3.38
ViT-M-32,224,512.0,512.0,512.0,103.12,39.69,63.43,9.95,3.99,5.96
ViT-S-16-alt,224,384.0,256.0,256.0,42.4,21.76,20.63,10.47,9.2,1.27
ViT-S-16,224,384.0,384.0,384.0,62.26,21.81,40.44,12.58,9.2,3.38
ViT-B-32,224,768.0,512.0,512.0,151.28,87.85,63.43,14.78,8.82,5.96
ViT-B-32-quickgelu,224,768.0,512.0,512.0,151.28,87.85,63.43,14.78,8.82,5.96
convnext_tiny,224,768.0,512.0,1024.0,92.3,28.61,63.69,14.87,8.91,5.96
ViT-B-32-256,256,768.0,512.0,512.0,151.29,87.86,63.43,17.46,11.5,5.96
RN50,224,64.0,512.0,1024.0,102.01,38.32,63.69,18.18,12.22,5.96
RN50-quickgelu,224,64.0,512.0,1024.0,102.01,38.32,63.69,18.18,12.22,5.96
ViT-M-16-alt,224,512.0,384.0,384.0,78.98,38.53,40.44,19.36,15.98,3.38
ViT-M-16,224,512.0,512.0,512.0,102.02,38.59,63.43,21.94,15.98,5.96
vit_relpos_medium_patch16_cls_224,224,768.0,512.0,512.0,101.94,38.51,63.43,21.99,16.03,5.96
mt5-base-ViT-B-32,224,768.0,512.0,512.0,365.71,87.85,277.86,22.12,8.82,13.3
convnext_small,224,768.0,512.0,512.0,113.28,49.85,63.43,23.33,17.37,5.96
ViT-B-32-plus-256,256,896.0,640.0,640.0,210.3,119.13,91.16,24.83,15.56,9.27
RN101,224,64.0,512.0,512.0,119.69,56.26,63.43,25.5,19.54,5.96
RN101-quickgelu,224,64.0,512.0,512.0,119.69,56.26,63.43,25.5,19.54,5.96
vit_medium_patch16_gap_256,256,768.0,512.0,512.0,102.04,38.61,63.43,27.1,21.14,5.96
coca_ViT-B-32,224,768.0,512.0,512.0,253.56,89.16,63.43,33.34,9.19,5.96
convnext_base,224,768.0,512.0,512.0,151.52,88.09,63.43,36.67,30.71,5.96
swin_base_patch4_window7_224,224,768.0,640.0,640.0,178.56,87.4,91.16,40.13,30.86,9.27
ViT-B-16,224,768.0,512.0,512.0,149.62,86.19,63.43,41.09,35.13,5.96
ViT-B-16-quickgelu,224,768.0,512.0,512.0,149.62,86.19,63.43,41.09,35.13,5.96
EVA02-B-16,224,768.0,512.0,512.0,149.69,86.26,63.43,41.09,35.13,5.96
ViT-B-16-SigLIP,224,768.0,768.0,768.0,203.16,92.88,110.27,46.44,35.42,11.02
convnext_base_w,256,768.0,640.0,640.0,179.39,88.22,91.16,49.38,40.11,9.27
RN50x4,288,80.0,640.0,640.0,178.3,87.14,91.16,51.82,42.56,9.27
coca_roberta-ViT-B-32,224,768.0,768.0,512.0,420.37,87.85,124.45,53.12,8.82,13.12
ViT-B-16-plus,224,896.0,640.0,640.0,208.35,117.19,91.16,56.75,47.49,9.27
ViT-B-16-SigLIP-256,256,768.0,768.0,768.0,203.2,92.93,110.27,57.84,46.82,11.02
ViT-B-16-SigLIP-i18n-256,256,768.0,768.0,768.0,370.63,92.93,277.7,57.84,46.82,11.02
ViT-B-16-plus-240,240,896.0,640.0,640.0,208.38,117.21,91.16,64.03,54.76,9.27
convnext_base_w_320,320,768.0,640.0,640.0,179.39,88.22,91.16,71.94,62.67,9.27
convnext_large,224,768.0,768.0,768.0,321.06,197.41,123.65,82.02,68.72,13.3
coca_base,288,768.0,768.0,512.0,440.34,86.4,134.66,99.09,46.47,13.3
roberta-ViT-B-32,224,768.0,512.0,512.0,212.72,87.85,124.87,105.87,8.82,97.05
xlm-roberta-base-ViT-B-32,224,768.0,512.0,512.0,366.12,87.85,278.27,105.87,8.82,97.05
convnext_large_d,256,768.0,768.0,768.0,351.77,199.77,152.0,107.5,89.76,17.73
ViT-B-16-SigLIP-384,384,768.0,768.0,768.0,203.45,93.18,110.27,123.15,112.13,11.02
ViT-L-16,224,1024.0,768.0,768.0,427.74,304.09,123.65,136.41,123.11,13.3
convnext_large_d_320,320,768.0,768.0,768.0,351.77,199.77,152.0,157.98,140.25,17.73
RN50x16,384,96.0,768.0,768.0,290.98,167.33,123.65,162.69,149.39,13.3
ViT-L-14-CLIPA,224,1024.0,768.0,768.0,414.21,303.96,110.25,167.5,162.03,5.47
EVA02-L-14,224,768.0,768.0,768.0,427.76,304.11,123.65,175.3,162.0,13.3
ViT-L-14,224,1024.0,768.0,768.0,427.62,303.97,123.65,175.33,162.03,13.3
ViT-L-14-quickgelu,224,1024.0,768.0,768.0,427.62,303.97,123.65,175.33,162.03,13.3
convnext_xlarge,256,768.0,1024.0,1024.0,653.89,350.25,303.65,198.38,159.14,39.24
ViT-L-16-SigLIP-256,256,768.0,1024.0,1024.0,652.15,315.96,336.19,201.62,162.56,39.06
coca_ViT-L-14,224,1024.0,768.0,768.0,638.45,306.72,123.65,214.52,163.64,13.3
ViT-B-16-SigLIP-512,512,768.0,768.0,768.0,203.79,93.52,110.27,227.26,216.24,11.02
ViT-SO400M-14-SigLIP,224,768.0,1152.0,1152.0,877.36,427.68,449.68,233.54,220.35,13.19
ViT-L-14-280,280,1024.0,768.0,768.0,427.76,304.11,123.65,271.79,258.49,13.3
ViT-L-16-320,320,1024.0,768.0,768.0,427.95,304.3,123.65,271.93,258.63,13.3
